"'Location","'Year","'Sex","'Area","'0-4","'5-9","'10-14","'15-19","'20-24","'25-29","'30-34","'35-39","'40-44","'45-49","'50-54","'55-59","'60-64","'65-69","'70-74","'75-79","'80+","'Total"
"Tajikistan","2015","Female","Rural","473","370","302","310","310","304","226","172","150","138","125","95","59","36","22","26","26","3,143"
"Turkmenistan","1980","Female","Rural","128","113","101","93","77","56","35","21","29","24","24","20","14","13","9","6","6","770"
"Turkmenistan","1985","Female","Rural","147","124","113","97","93","75","51","31","21","30","23","26","17","13","11","7","8","887"
"Turkmenistan","1990","Female","Rural","174","143","125","109","94","90","70","47","30","22","29","24","22","16","10","8","9","1,021"
"Turkmenistan","1995","Female","Rural","180","171","145","125","107","91","84","65","46","32","21","30","22","21","13","8","10","1,170"
"Turkmenistan","2000","Female","Rural","147","170","166","139","117","99","81","74","61","47","29","21","25","20","17","10","10","1,232"
"Turkmenistan","2005","Female","Rural","149","139","165","157","128","105","86","70","68","60","41","28","16","22","15","12","11","1,273"
"Turkmenistan","2010","Female","Rural","147","142","135","157","147","117","93","74","65","68","54","41","23","15","17","11","14","1,319"
"Turkmenistan","2015","Female","Rural","148","137","135","126","145","134","104","82","71","66","63","55","35","22","12","13","14","1,362"
"Uzbekistan","1980","Female","Rural","819","693","611","577","462","333","217","155","196","144","140","112","83","82","62","50","38","4,774"
"Uzbekistan","1985","Female","Rural","936","783","669","586","541","439","330","199","141","173","141","139","112","70","64","50","52","5,427"
"Uzbekistan","1990","Female","Rural","1,072","896","760","646","544","523","437","307","180","124","165","135","136","90","53","49","54","6,171"
"Uzbekistan","1995","Female","Rural","1,110","1,051","882","752","623","538","532","418","288","164","121","163","136","116","72","42","58","7,068"
"Uzbekistan","2000","Female","Rural","972","1,089","1,033","864","728","607","535","515","402","273","154","116","152","120","92","56","53","7,763"
"Uzbekistan","2005","Female","Rural","896","963","1,068","1,000","820","678","577","512","482","369","245","149","106","144","94","72","64","8,242"
"Uzbekistan","2010","Female","Rural","992","890","948","1,038","964","776","655","570","484","447","336","242","143","101","115","72","82","8,854"
"Uzbekistan","2015","Female","Rural","1,017","979","869","915","1,001","916","752","648","540","448","406","329","230","136","80","88","91","9,445"
"Southern Asia","1980","Female","Rural","55,855","47,039","41,198","35,293","30,511","25,787","20,805","18,400","16,977","14,657","12,225","9,903","7,837","5,709","3,894","2,113","1,603","349,806"
"Southern Asia","1985","Female","Rural","60,026","52,101","44,346","38,698","34,005","29,246","24,915","19,812","17,918","16,199","13,839","11,200","8,791","6,432","4,351","2,565","1,849","386,294"
"Southern Asia","1990","Female","Rural","63,190","56,512","49,286","41,660","37,403","32,719","28,419","23,817","19,436","17,259","15,447","12,805","10,029","7,313","4,941","2,892","2,199","425,328"
"Southern Asia","1995","Female","Rural","63,622","60,330","53,544","46,460","40,418","36,175","31,911","27,243","23,286","18,599","16,328","14,382","11,564","8,454","5,665","3,254","2,627","463,860"
"Southern Asia","2000","Female","Rural","64,090","61,551","57,570","50,393","44,753","38,903","35,104","30,321","26,300","22,198","17,562","15,299","12,971","9,735","6,604","3,874","3,017","500,245"
"Southern Asia","2005","Female","Rural","62,962","61,262","57,769","52,878","48,036","42,961","37,579","33,139","29,210","25,084","21,152","16,696","13,944","11,053","7,704","4,569","3,634","529,633"
"Southern Asia","2010","Female","Rural","60,831","60,347","57,246","52,442","49,977","45,871","41,423","35,401","31,915","27,836","24,044","20,311","15,348","11,908","8,819","5,387","4,420","553,527"
"Southern Asia","2015","Female","Rural","59,600","58,174","56,096","51,628","49,577","47,969","44,385","38,921","33,974","30,402","26,844","23,213","18,798","13,157","9,611","6,208","5,344","573,903"
"Afghanistan","1980","Female","Rural","1,046","815","667","549","457","381","351","276","228","187","153","123","93","65","40","21","10","5,463"
"Afghanistan","1985","Female","Rural","923","723","580","472","389","329","280","258","186","147","116","94","76","52","31","15","7","4,678"
"Afghanistan","1990","Female","Rural","930","733","596","478","388","319","272","233","212","145","110","83","65","51","32","15","7","4,669"
"Afghanistan","1995","Female","Rural","1,392","1,066","859","706","582","481","396","330","272","245","177","137","103","75","51","27","15","6,913"
"Afghanistan","2000","Female","Rural","1,670","1,266","990","791","647","540","452","372","305","250","222","157","117","83","56","33","19","7,970"
"Afghanistan","2005","Female","Rural","1,866","1,550","1,199","954","781","638","530","439","354","290","235","204","139","98","64","37","24","9,403"
"Afghanistan","2010","Female","Rural","1,891","1,727","1,452","1,101","862","724","609","507","412","332","267","212","179","115","75","43","28","10,537"
"Afghanistan","2015","Female","Rural","1,760","1,754","1,617","1,356","1,033","822","702","589","479","390","310","245","189","151","90","52","34","11,573"
"Bangladesh","1980","Female","Rural","6,105","5,010","4,398","3,686","2,759","2,027","1,850","1,765","1,494","1,216","1,054","887","672","502","339","206","130","34,102"
"Bangladesh","1985","Female","Rural","6,532","5,635","4,792","4,122","3,458","2,518","1,851","1,746","1,636","1,307","1,095","931","719","540","385","232","169","37,669"
"Bangladesh","1990","Female","Rural","6,680","6,090","5,421","4,494","3,923","3,265","2,392","1,762","1,659","1,526","1,262","1,029","797","617","437","273","202","41,829"
"Bangladesh","1995","Female","Rural","6,630","6,314","5,872","5,038","4,249","3,705","3,113","2,278","1,686","1,552","1,491","1,206","891","698","509","314","243","45,789"
"Bangladesh","2000","Female","Rural","6,478","6,326","6,100","5,464","4,802","4,036","3,553","2,964","2,182","1,597","1,533","1,430","1,044","784","578","368","290","49,530"
"Bangladesh","2005","Female","Rural","6,105","6,130","6,056","5,537","5,082","4,512","3,803","3,307","2,773","1,983","1,536","1,438","1,173","864","625","416","348","51,688"
"Bangladesh","2010","Female","Rural","5,482","5,768","5,836","5,392","5,077","4,733","4,213","3,497","3,066","2,498","1,911","1,432","1,146","956","684","450","413","52,555"
"Bangladesh","2015","Female","Rural","5,189","5,170","5,464","5,160","4,945","4,685","4,422","3,893","3,266","2,808","2,481","1,824","1,160","972","788","500","472","53,201"
"Bhutan","1980","Female","Rural","33","26","21","17","14","12","12","10","9","7","6","5","3","2","1","1","0","178"
"Bhutan","1985","Female","Rural","35","30","24","19","15","13","11","11","9","8","7","5","4","3","2","1","1","197"
"Bhutan","1990","Female","Rural","37","32","28","22","17","14","12","10","10","9","7","6","5","3","2","1","1","217"
"Bhutan","1995","Female","Rural","31","31","26","20","16","14","11","10","8","7","6","5","4","3","2","1","1","197"
"Bhutan","2000","Female","Rural","28","29","29","22","18","14","13","10","10","8","6","6","5","4","2","1","1","205"
"Bhutan","2005","Female","Rural","24","26","27","24","19","17","14","12","10","9","7","6","5","4","3","2","1","212"
"Bhutan","2010","Female","Rural","24","23","23","23","23","19","16","13","12","10","9","7","5","4","3","2","2","219"
"Bhutan","2015","Female","Rural","23","21","20","21","21","21","18","16","14","12","10","9","6","5","4","2","3","224"
"India","1980","Female","Rural","39,979","34,107","30,184","26,051","23,079","19,903","15,628","13,714","12,963","11,306","9,380","7,563","6,013","4,366","2,970","1,577","1,232","260,013"
"India","1985","Female","Rural","42,595","37,487","32,234","28,463","25,273","22,206","19,346","14,970","13,541","12,554","10,768","8,638","6,759","4,926","3,322","1,940","1,409","286,431"
"India","1990","Female","Rural","44,674","40,144","35,425","30,357","27,636","24,335","21,631","18,561","14,842","13,157","11,997","9,945","7,757","5,564","3,760","2,165","1,665","313,615"
"India","1995","Female","Rural","45,075","42,856","38,317","33,372","29,489","26,699","23,808","20,732","18,209","14,199","12,398","11,062","8,963","6,418","4,263","2,463","1,916","340,235"
"India","2000","Female","Rural","45,282","43,612","40,834","35,770","32,367","28,611","26,200","22,783","20,180","17,405","13,414","11,651","10,087","7,536","5,001","2,867","2,260","365,858"
"India","2005","Female","Rural","45,114","43,508","40,884","37,422","34,390","31,268","27,899","24,840","22,031","19,397","16,630","12,871","10,719","8,577","5,943","3,434","2,717","387,644"
"India","2010","Female","Rural","43,122","43,366","40,538","37,154","35,874","33,174","30,457","26,362","24,004","21,224","18,625","16,123","11,948","9,204","6,854","4,154","3,346","405,531"
"India","2015","Female","Rural","42,653","41,451","40,229","36,622","35,619","34,617","32,308","28,698","25,458","23,118","20,389","18,113","15,007","10,273","7,379","4,806","4,099","420,837"
"Iran (Islamic Republic of)","1980","Female","Rural","1,930","1,430","1,091","915","718","648","540","458","431","372","313","242","217","136","112","42","33","9,628"
"Iran (Islamic Republic of)","1985","Female","Rural","2,212","1,721","1,331","1,039","815","679","625","492","397","378","341","279","245","162","94","57","31","10,898"
"Iran (Islamic Republic of)","1990","Female","Rural","2,164","2,056","1,628","1,260","956","775","651","565","415","339","336","307","262","194","105","52","40","12,105"
"Iran (Islamic Republic of)","1995","Female","Rural","1,673","1,905","1,744","1,384","1,044","795","647","559","496","367","287","285","270","206","144","66","41","11,913"
"Iran (Islamic Republic of)","2000","Female","Rural","1,249","1,491","1,712","1,630","1,193","902","706","565","508","462","332","247","263","222","163","98","53","11,797"
"Iran (Islamic Republic of)","2005","Female","Rural","998","1,007","1,276","1,504","1,479","1,075","778","604","556","444","431","286","223","210","182","103","89","11,246"
"Iran (Islamic Republic of)","2010","Female","Rural","1,063","871","889","1,157","1,294","1,158","864","683","601","503","435","382","268","208","184","128","98","10,786"
"Iran (Islamic Republic of)","2015","Female","Rural","1,064","959","776","827","933","1,054","1,037","800","606","538","480","413","363","234","182","137","119","10,521"
"Maldives","1980","Female","Rural","11","9","8","6","5","3","2","3","3","3","2","1","1","1","0","0","0","58"
"Maldives","1985","Female","Rural","14","10","8","7","6","5","3","2","3","3","2","2","1","1","0","0","0","67"
"Maldives","1990","Female","Rural","17","13","9","7","7","6","4","3","2","3","3","2","1","1","1","0","0","79"
"Maldives","1995","Female","Rural","15","16","13","8","8","7","6","4","3","2","3","3","2","1","1","0","0","91"
"Maldives","2000","Female","Rural","13","15","15","11","8","7","6","6","4","3","2","3","2","2","1","0","0","97"
"Maldives","2005","Female","Rural","11","13","13","11","9","7","6","6","5","4","3","2","2","2","1","1","0","97"
"Maldives","2010","Female","Rural","11","10","11","9","9","9","7","6","6","5","4","2","2","2","2","1","1","96"
"Maldives","2015","Female","Rural","11","11","9","7","7","9","8","7","6","5","5","3","2","2","2","1","1","96"
"Nepal","1980","Female","Rural","1,077","894","773","663","566","480","405","387","331","275","232","187","144","105","70","38","21","6,650"
"Nepal","1985","Female","Rural","1,206","1,004","862","741","634","539","457","383","367","311","256","210","163","118","79","44","26","7,400"
"Nepal","1990","Female","Rural","1,331","1,137","971","825","707","604","516","436","364","347","290","233","185","135","90","50","32","8,254"
"Nepal","1995","Female","Rural","1,395","1,253","1,095","927","765","615","512","446","387","332","318","262","204","155","104","59","38","8,867"
"Nepal","2000","Female","Rural","1,502","1,338","1,226","1,074","924","799","664","538","448","376","310","290","233","174","120","69","44","10,129"
"Nepal","2005","Female","Rural","1,504","1,453","1,315","1,127","933","859","737","606","512","424","357","293","297","228","136","85","55","10,920"
"Nepal","2010","Female","Rural","1,360","1,459","1,397","1,226","1,048","871","786","694","581","491","405","362","285","243","176","95","68","11,547"
"Nepal","2015","Female","Rural","1,179","1,321","1,409","1,312","1,140","1,015","844","771","686","565","473","395","347","252","198","125","80","12,115"
"Pakistan","1980","Female","Rural","4,899","4,027","3,341","2,756","2,327","1,847","1,590","1,448","1,233","1,045","870","718","558","428","288","185","142","27,702"
"Pakistan","1985","Female","Rural","5,721","4,720","3,804","3,154","2,809","2,391","1,876","1,546","1,457","1,214","1,020","839","660","506","349","219","164","32,448"
"Pakistan","1990","Female","Rural","6,633","5,518","4,440","3,531","3,119","2,804","2,380","1,791","1,535","1,416","1,172","975","764","595","411","265","194","37,544"
"Pakistan","1995","Female","Rural","6,708","6,164","4,834","4,265","3,620","3,228","2,834","2,339","1,780","1,506","1,342","1,163","912","722","464","243","299","42,423"
"Pakistan","2000","Female","Rural","7,191","6,786","5,948","4,877","4,115","3,387","2,897","2,505","2,121","1,647","1,353","1,214","978","742","543","345","269","46,920"
"Pakistan","2005","Female","Rural","6,615","6,898","6,315","5,606","4,624","3,908","3,203","2,712","2,392","1,992","1,509","1,216","1,097","841","583","378","291","50,179"
"Pakistan","2010","Female","Rural","7,118","6,403","6,426","5,719","5,138","4,483","3,804","3,040","2,626","2,199","1,855","1,358","1,151","904","641","378","341","53,585"
"Pakistan","2015","Female","Rural","6,952","6,731","5,858","5,675","5,260","5,113","4,355","3,489","2,865","2,362","2,131","1,693","1,311","925","731","422","390","56,262"
"Sri Lanka","1980","Female","Rural","777","722","715","650","585","485","427","338","286","247","214","176","135","105","73","44","33","6,012"
"Sri Lanka","1985","Female","Rural","789","771","710","683","606","565","466","403","323","277","236","202","164","124","89","57","43","6,507"
"Sri Lanka","1990","Female","Rural","724","790","767","687","648","598","561","456","397","318","268","227","191","152","105","69","58","7,016"
"Sri Lanka","1995","Female","Rural","702","724","784","739","647","632","585","545","446","390","307","258","214","176","128","81","75","7,433"
"Sri Lanka","2000","Female","Rural","678","688","715","753","680","606","614","578","542","450","389","301","243","190","139","93","80","7,740"
"Sri Lanka","2005","Female","Rural","723","679","686","694","717","675","608","611","576","541","443","381","290","230","167","114","109","8,244"
"Sri Lanka","2010","Female","Rural","760","720","673","661","652","699","667","599","607","575","533","433","364","271","200","135","123","8,670"
"Sri Lanka","2015","Female","Rural","769","757","714","648","620","632","690","657","594","605","565","520","414","343","238","163","147","9,075"
"South-Eastern Asia","1980","Female","Rural","20,145","18,757","16,927","14,214","11,857","9,512","7,214","6,386","5,951","5,387","4,486","3,622","2,908","2,362","1,695","1,038","763","133,224"
"South-Eastern Asia","1985","Female","Rural","20,708","19,091","17,656","15,246","12,994","11,169","9,001","6,838","6,019","5,701","5,054","4,157","3,242","2,501","1,885","1,203","948","143,412"
"South-Eastern Asia","1990","Female","Rural","20,055","19,516","17,886","15,737","13,825","12,259","10,587","8,592","6,513","5,812","5,364","4,710","3,741","2,815","2,000","1,356","1,153","151,920"
"South-Eastern Asia","1995","Female","Rural","19,041","19,022","18,478","16,191","14,235","13,001","11,596","10,025","8,065","6,154","5,325","4,902","4,176","3,209","2,259","1,460","1,348","158,488"
"South-Eastern Asia","2000","Female","Rural","17,132","18,282","18,056","16,575","14,056","13,192","12,337","11,048","9,550","7,786","5,709","4,885","4,392","3,624","2,625","1,681","1,547","162,478"
"South-Eastern Asia","2005","Female","Rural","16,566","16,850","17,533","16,195","14,311","13,021","12,307","11,423","10,323","9,011","7,322","5,343","4,351","3,629","2,913","1,869","1,878","164,844"
"South-Eastern Asia","2010","Female","Rural","16,492","16,276","15,796","14,905","13,310","13,394","12,115","11,575","10,808","9,812","8,373","6,630","4,681","3,615","3,002","2,101","2,233","165,118"
"South-Eastern Asia","2015","Female","Rural","15,098","15,545","15,166","13,701","12,919","12,657","12,823","11,607","11,053","10,224","9,045","7,699","5,987","4,096","3,007","2,236","2,467","165,331"
"Brunei Darussalam","1980","Female","Rural","6","5","4","4","4","3","2","2","1","1","1","1","0","0","0","0","0","36"
"Brunei Darussalam","1985","Female","Rural","6","6","5","4","3","4","3","2","1","1","1","1","1","0","0","0","0","40"
"Brunei Darussalam","1990","Female","Rural","6","5","4","4","4","4","4","3","2","1","1","1","1","0","0","0","0","41"
"Brunei Darussalam","1995","Female","Rural","6","5","4","4","4","5","4","3","3","2","1","1","1","0","0","0","0","44"
"Brunei Darussalam","2000","Female","Rural","5","5","5","4","5","5","5","4","3","2","1","1","1","1","0","0","0","47"
"Brunei Darussalam","2005","Female","Rural","5","5","5","4","4","4","4","4","4","3","2","1","1","1","0","0","0","48"
"Brunei Darussalam","2010","Female","Rural","4","5","4","4","4","3","4","4","4","3","3","2","1","1","1","0","0","48"
"Brunei Darussalam","2015","Female","Rural","4","4","4","4","4","3","3","4","4","4","3","2","2","1","1","0","0","48"
"Cambodia","1980","Female","Rural","411","452","415","358","314","274","198","162","136","116","100","85","68","51","34","19","10","3,205"
"Cambodia","1985","Female","Rural","673","373","408","364","324","282","246","177","143","121","103","88","71","55","38","23","15","3,505"
"Cambodia","1990","Female","Rural","751","633","343","367","345","304","264","228","162","133","111","94","77","60","44","28","22","3,966"
"Cambodia","1995","Female","Rural","756","734","615","328","369","342","301","258","220","159","130","109","88","70","52","35","31","4,596"
"Cambodia","2000","Female","Rural","626","732","712","643","304","368","345","309","251","221","157","128","103","84","59","40","41","5,123"
"Cambodia","2005","Female","Rural","628","629","748","609","601","282","358","344","315","254","217","156","124","98","76","50","55","5,544"
"Cambodia","2010","Female","Rural","647","620","633","650","479","640","264","354","336","312","247","210","148","116","89","66","76","5,886"
"Cambodia","2015","Female","Rural","709","656","624","549","545","474","659","268","349","333","301","239","203","140","106","76","104","6,337"
"Indonesia","1980","Female","Rural","8,596","7,932","7,140","5,979","4,940","3,817","3,131","3,003","2,784","2,417","1,958","1,478","1,175","955","670","373","236","56,585"
"Indonesia","1985","Female","Rural","8,510","8,039","7,408","6,413","5,414","4,576","3,536","2,906","2,773","2,601","2,205","1,758","1,279","972","725","438","277","59,828"
"Indonesia","1990","Female","Rural","7,837","7,925","7,445","6,538","5,729","4,992","4,210","3,265","2,678","2,591","2,362","1,973","1,513","1,058","736","477","329","61,656"
"Indonesia","1995","Female","Rural","7,120","7,226","7,298","6,517","5,676","5,184","4,529","3,815","2,928","2,436","2,280","2,064","1,670","1,231","793","488","373","61,629"
"Indonesia","2000","Female","Rural","6,398","6,594","6,598","6,233","5,408","5,041","4,643","4,034","3,386","2,662","2,139","1,993","1,759","1,362","934","529","392","60,105"
"Indonesia","2005","Female","Rural","6,367","6,407","6,317","5,757","5,006","4,882","4,559","4,163","3,684","3,095","2,496","2,022","1,687","1,328","992","568","498","59,829"
"Indonesia","2010","Female","Rural","6,638","6,376","5,945","5,035","4,434","4,759","4,417","4,202","3,872","3,419","2,794","2,115","1,643","1,278","1,027","600","592","59,145"
"Indonesia","2015","Female","Rural","5,530","6,015","5,724","4,983","4,268","4,181","4,512","4,217","3,988","3,638","3,106","2,527","1,868","1,398","1,016","706","561","58,238"
"Lao People's Democratic Republic","1980","Female","Rural","252","213","176","143","115","96","78","65","60","54","50","42","34","25","17","9","5","1,435"
"Lao People's Democratic Republic","1985","Female","Rural","281","234","201","163","132","108","87","72","60","56","51","46","37","28","19","11","6","1,592"
"Lao People's Democratic Republic","1990","Female","Rural","325","262","221","185","152","129","103","83","68","57","53","46","40","30","21","12","8","1,796"
"Lao People's Democratic Republic","1995","Female","Rural","363","306","247","202","172","147","121","96","78","64","54","48","41","33","23","14","9","2,020"
"Lao People's Democratic Republic","2000","Female","Rural","336","335","278","214","174","154","126","105","85","71","60","48","42","33","25","15","10","2,112"
"Lao People's Democratic Republic","2005","Female","Rural","290","309","299","234","180","157","131","109","93","78","66","53","42","34","25","16","12","2,128"
"Lao People's Democratic Republic","2010","Female","Rural","316","266","272","245","195","167","136","115","97","85","73","59","47","34","26","16","13","2,160"
"Lao People's Democratic Republic","2015","Female","Rural","308","288","230","214","200","184","145","119","103","90","81","65","52","37","26","16","13","2,173"
"Malaysia","1980","Female","Rural","553","547","518","468","365","302","239","178","177","145","127","104","86","60","46","21","20","3,956"
"Malaysia","1985","Female","Rural","633","569","504","442","392","327","274","221","167","169","135","113","90","69","45","30","20","4,201"
"Malaysia","1990","Female","Rural","640","614","540","443","365","356","306","265","217","165","159","122","101","72","53","30","26","4,472"
"Malaysia","1995","Female","Rural","588","596","584","481","322","295","314","272","234","197","142","139","111","86","59","41","30","4,491"
"Malaysia","2000","Female","Rural","519","546","543","470","313","286","286","285","248","220","172","127","121","85","62","40","30","4,353"
"Malaysia","2005","Female","Rural","442","499","518","471","333","314","285","268","243","233","195","155","136","91","68","41","31","4,323"
"Malaysia","2010","Female","Rural","366","400","423","469","489","433","264","219","215","209","184","152","125","86","67","36","29","4,166"
"Malaysia","2015","Female","Rural","336","314","355","392","431","422","329","219","202","193","185","164","133","106","68","46","31","3,925"
"Myanmar","1980","Female","Rural","2,104","1,834","1,611","1,383","1,215","1,058","717","600","561","532","497","396","333","239","171","99","63","13,412"
"Myanmar","1985","Female","Rural","2,244","2,001","1,763","1,562","1,352","1,190","1,033","694","587","542","512","459","361","280","193","112","77","14,963"
"Myanmar","1990","Female","Rural","2,097","2,135","1,916","1,701","1,520","1,319","1,156","996","677","565","520","473","419","305","227","127","91","16,243"
"Myanmar","1995","Female","Rural","1,950","1,992","2,034","1,840","1,649","1,477","1,277","1,111","969","650","541","479","431","354","248","151","104","17,257"
"Myanmar","2000","Female","Rural","1,865","1,848","1,885","1,941","1,778","1,601","1,429","1,224","1,079","929","621","497","437","363","289","164","123","18,071"
"Myanmar","2005","Female","Rural","1,696","1,747","1,726","1,766","1,823","1,667","1,498","1,332","1,164","1,016","875","562","448","365","295","190","137","18,308"
"Myanmar","2010","Female","Rural","1,613","1,579","1,615","1,602","1,649","1,707","1,559","1,393","1,266","1,093","956","791","507","372","297","193","157","18,349"
"Myanmar","2015","Female","Rural","1,538","1,502","1,451","1,498","1,511","1,567","1,617","1,462","1,334","1,194","1,032","863","715","420","305","193","167","18,369"
"Philippines","1980","Female","Rural","2,442","2,145","1,894","1,577","1,309","1,125","789","663","558","481","376","342","273","224","156","84","61","14,499"
"Philippines","1985","Female","Rural","2,493","2,225","1,932","1,593","1,333","1,156","988","702","585","516","421","326","288","221","168","101","63","15,109"
"Philippines","1990","Female","Rural","2,532","2,266","1,983","1,578","1,310","1,160","1,000","871","613","542","447","363","273","232","165","108","73","15,516"
"Philippines","1995","Female","Rural","2,703","2,532","2,218","1,782","1,451","1,292","1,139","1,002","863","641","524","430","338","245","193","119","90","17,564"
"Philippines","2000","Female","Rural","2,896","2,707","2,481","1,998","1,642","1,432","1,269","1,143","995","905","621","505","402","305","206","141","103","19,753"
"Philippines","2005","Female","Rural","3,151","2,950","2,700","2,280","1,877","1,650","1,434","1,299","1,157","1,062","895","610","482","370","263","155","124","22,459"
"Philippines","2010","Female","Rural","3,171","3,211","2,945","2,493","2,152","1,887","1,654","1,466","1,315","1,232","1,051","881","584","445","320","199","141","25,149"
"Philippines","2015","Female","Rural","3,359","3,211","3,188","2,725","2,363","2,166","1,890","1,685","1,478","1,389","1,214","1,030","840","538","385","244","177","27,883"
"Singapore","1980","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1985","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1990","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1995","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2000","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2005","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2010","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2015","Female","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thailand","1980","Female","Rural","2,368","2,491","2,358","1,828","1,477","1,241","1,019","843","820","712","573","433","333","267","206","136","117","17,223"
"Thailand","1985","Female","Rural","2,184","2,361","2,379","2,026","1,622","1,472","1,301","1,044","858","838","706","575","404","308","228","166","143","18,618"
"Thailand","1990","Female","Rural","2,009","2,176","2,259","2,000","1,778","1,632","1,547","1,357","1,094","908","868","737","564","397","262","189","185","19,962"
"Thailand","1995","Female","Rural","1,876","2,002","2,096","2,002","1,805","1,736","1,609","1,496","1,294","1,026","850","827","657","505","319","210","204","20,514"
"Thailand","2000","Female","Rural","1,666","1,840","1,912","1,848","1,628","1,730","1,899","1,818","1,678","1,391","1,033","824","769","608","435","267","243","21,590"
"Thailand","2005","Female","Rural","1,411","1,599","1,698","1,684","1,551","1,459","1,590","1,710","1,638","1,531","1,259","925","728","656","500","334","294","20,566"
"Thailand","2010","Female","Rural","1,212","1,360","1,395","1,288","1,074","1,142","1,368","1,532","1,590","1,514","1,373","1,137","822","636","553","392","377","18,764"
"Thailand","2015","Female","Rural","959","1,088","1,169","1,053","915","954","1,106","1,308","1,389","1,411","1,320","1,214","979","701","510","419","440","16,937"
"Democratic Republic of Timor-Leste","1980","Female","Rural","31","33","31","30","26","20","17","13","10","8","6","4","3","2","2","1","1","238"
"Democratic Republic of Timor-Leste","1985","Female","Rural","46","30","31","28","27","24","18","15","12","10","7","6","4","2","2","1","1","263"
"Democratic Republic of Timor-Leste","1990","Female","Rural","49","40","28","32","28","25","21","16","14","11","8","6","4","3","2","1","0","289"
"Democratic Republic of Timor-Leste","1995","Female","Rural","59","45","38","26","30","27","24","19","15","13","10","8","5","4","2","1","1","328"
"Democratic Republic of Timor-Leste","2000","Female","Rural","66","54","42","33","18","18","15","15","13","11","10","8","6","4","3","1","1","316"
"Democratic Republic of Timor-Leste","2005","Female","Rural","61","63","52","39","31","17","17","15","14","12","10","9","7","5","3","2","1","359"
"Democratic Republic of Timor-Leste","2010","Female","Rural","64","57","59","46","31","24","12","14","12","12","11","9","8","6","4","2","1","373"
"Democratic Republic of Timor-Leste","2015","Female","Rural","64","60","54","53","38","25","19","9","11","10","11","9","8","6","4","3","1","386"
"Viet Nam","1980","Female","Rural","3,382","3,105","2,778","2,445","2,094","1,576","1,024","856","843","920","797","737","602","537","394","296","250","22,636"
"Viet Nam","1985","Female","Rural","3,639","3,254","3,026","2,653","2,392","2,031","1,514","1,005","832","846","913","786","707","564","467","321","345","25,293"
"Viet Nam","1990","Female","Rural","3,809","3,461","3,146","2,889","2,594","2,338","1,977","1,508","989","837","833","895","748","657","491","383","420","27,978"
"Viet Nam","1995","Female","Rural","3,619","3,583","3,343","3,009","2,756","2,495","2,279","1,951","1,460","967","793","798","833","681","569","401","507","30,045"
"Viet Nam","2000","Female","Rural","2,754","3,621","3,601","3,192","2,787","2,557","2,319","2,111","1,812","1,373","896","755","753","778","613","483","603","31,008"
"Viet Nam","2005","Female","Rural","2,514","2,642","3,470","3,352","2,906","2,590","2,429","2,178","2,011","1,725","1,306","848","696","682","690","514","726","31,280"
"Viet Nam","2010","Female","Rural","2,461","2,401","2,504","3,074","2,803","2,632","2,438","2,275","2,101","1,932","1,681","1,274","799","642","620","596","846","31,078"
"Viet Nam","2015","Female","Rural","2,291","2,407","2,367","2,230","2,644","2,680","2,542","2,317","2,194","1,961","1,792","1,585","1,188","749","585","532","971","31,035"
"Western Asia","1980","Female","Rural","4,544","3,834","3,257","2,816","2,340","1,940","1,445","1,214","1,128","1,039","947","761","602","549","429","260","230","27,334"
"Western Asia","1985","Female","Rural","4,644","3,971","3,353","2,838","2,347","1,981","1,637","1,252","1,034","986","967","876","698","510","440","298","258","28,091"
"Western Asia","1990","Female","Rural","4,549","4,099","3,493","2,934","2,413","2,105","1,744","1,431","1,086","950","934","897","787","565","389","300","270","28,948"
"Western Asia","1995","Female","Rural","4,594","4,237","3,826","3,233","2,566","2,237","1,985","1,686","1,405","1,039","931","886","834","687","465","284","316","31,212"
"Western Asia","2000","Female","Rural","4,572","4,309","3,963","3,522","2,900","2,428","2,100","1,863","1,579","1,338","1,020","882","840","754","573","341","313","33,299"
"Western Asia","2005","Female","Rural","4,458","4,301","4,031","3,668","3,164","2,713","2,218","1,945","1,736","1,489","1,296","971","826","746","621","403","344","34,928"
"Western Asia","2010","Female","Rural","4,476","4,216","3,937","3,695","3,339","3,035","2,559","2,105","1,821","1,651","1,480","1,250","924","757","625","454","432","36,757"
"Western Asia","2015","Female","Rural","4,441","4,203","3,861","3,547","3,264","3,128","2,807","2,380","1,929","1,717","1,616","1,394","1,179","848","640","477","519","37,947"
"Armenia","1980","Female","Rural","63","54","49","58","62","48","28","17","25","21","27","20","13","14","10","8","9","525"
